words	red	yellow	green	blue	purple	white	black
showy	17	22	3	-3	-6	2	-13
sober	-17	-22	-3	3	6	-2	13
natural	0	4	7	2	-9	11	1
artificial	0	-4	-7	-2	9	-11	-1
warm	14	13	-1	-13	-7	-4	1
cold	-14	-13	1	13	7	4	-1
bright	11	22	6	-6	-9	14	-22
dark	-11	-22	-6	6	9	-14	22
intellectual	-14	-8	4	6	-1	11	7
emotional	14	8	-4	-6	1	-11	-7
soft	0	9	2	-7	-6	7	-16
hard	0	-9	-2	7	6	-7	16
light	0	16	3	-4	-12	11	-19
grave	0	-16	-3	4	12	-11	19
plain	-8	3	-2	-3	-9	17	-4
insistent	8	-3	2	3	9	-17	4
strong	15	18	6	11	5	-3	16
feeble	-15	-18	-6	-11	-5	3	-16
favorite	4	6	3	2	-6	14	11
disliked	-4	-6	-3	-2	6	-14	-11
static	-12	-13	-2	6	4	11	9
dynamic	12	13	2	-6	-4	-11	-9
cheerful	11	16	-1	-6	-9	4	-13
gloomy	-11	-16	1	6	9	-4	13
beautiful	5	6	4	1	-3	14	4
ugly	-5	-6	-4	-1	3	-14	-4
manly	-8	-3	4	8	-7	-5	24
womanly	8	3	-4	-8	7	5	-24
vivid	8	17	7	6	-2	9	12
vague	-8	-17	-7	-6	2	-9	-12
clear	1	12	4	3	-6	15	-1
muddy	-1	-12	-4	-3	6	-15	1
simple	2	12	4	3	-9	14	-3
complicated	-2	-12	-4	-3	9	-14	3
graceful	-2	2	1	4	0	15	9
vulgar	2	-2	-1	-4	0	-15	-9
new	4	9	2	1	-6	8	-3
old	-4	-9	-2	-1	6	-8	3
excited	8	10	-2	-6	-7	0	-9
melancholy	-8	-10	2	6	7	0	9
