,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,2,1,22.0,1,0,523,18,0,3
1,1,0,0,38.0,1,0,596,207,82,1
2,1,2,0,26.0,0,0,669,41,0,3
3,1,0,0,35.0,1,0,49,189,56,3
4,0,2,1,35.0,0,0,472,43,0,3
5,0,2,1,29.7,0,0,275,51,0,2
6,0,0,1,54.0,0,0,85,186,130,3
7,0,2,1,2.0,3,1,395,124,0,3
8,1,2,0,27.0,0,2,344,74,0,3
9,1,1,0,14.0,1,0,132,154,0,1
10,1,2,0,4.0,1,1,616,110,146,3
11,1,0,0,58.0,0,0,38,143,50,3
12,0,2,1,20.0,0,0,535,43,0,3
13,0,2,1,39.0,1,5,333,158,0,3
14,0,2,0,14.0,0,0,413,36,0,3
15,1,1,0,55.0,0,0,153,108,0,3
16,0,2,1,2.0,4,1,480,151,0,2
17,1,1,1,29.7,0,0,151,85,0,3
18,0,2,0,31.0,1,0,301,113,0,3
19,1,2,0,29.7,0,0,184,16,0,1
20,0,1,1,35.0,0,0,139,138,0,3
21,1,1,1,34.0,0,0,152,85,112,3
22,1,2,0,15.0,0,0,278,42,0,2
23,1,0,1,28.0,0,0,42,168,14,3
24,0,2,0,8.0,3,1,395,124,0,3
25,1,2,0,38.0,1,5,329,159,0,3
26,0,2,1,29.7,0,0,179,16,0,1
27,0,0,1,19.0,3,2,95,246,64,3
28,1,2,0,29.7,0,0,283,38,0,2
29,0,2,1,29.7,0,0,362,40,0,3
30,0,0,1,40.0,0,0,598,145,0,1
31,1,0,0,29.7,1,0,586,236,42,1
32,1,2,0,29.7,0,0,288,30,0,2
33,0,1,1,66.0,0,0,549,72,0,3
34,0,0,1,28.0,1,0,600,220,0,1
35,0,0,1,42.0,1,0,43,187,0,3
36,1,2,1,29.7,0,0,202,17,0,1
37,0,2,1,21.0,0,0,514,43,0,3
38,0,2,0,18.0,2,0,302,113,0,3
39,1,2,0,14.0,1,0,186,75,0,1
40,0,2,0,40.0,1,0,507,62,0,3
41,0,1,0,27.0,1,0,53,123,0,3
42,0,2,1,29.7,0,0,391,40,0,1
43,1,1,0,3.0,1,2,634,177,0,1
44,1,2,0,19.0,0,0,282,38,0,2
45,0,2,1,29.7,0,0,617,43,0,3
46,0,2,1,29.7,1,0,462,102,0,2
47,1,2,0,29.7,0,0,76,30,0,2
48,0,2,1,29.7,2,0,190,125,0,1
49,0,2,0,18.0,1,0,377,112,0,3
50,0,2,1,7.0,4,1,249,175,0,3
51,0,2,1,21.0,0,0,522,34,0,3
52,1,0,0,49.0,1,0,587,211,102,1
